player_id,distance_m,possession_s,touches,shots,shots_on_target,shot_accuracy_pct
1,0.4354000039228939,0.0,0,0,0,0.0
2,0.1617387795369948,0.0,0,0,0,0.0
3,6.561274946231036,0.0,0,0,0,0.0
5,8.993276141624305,0.0,0,0,0,0.0
7,2.0003584026636974,0.0,0,0,0,0.0
9,2.1696294039916744,0.0,0,0,0,0.0
10,1.314044509460026,0.0,0,0,0,0.0
11,13.142973113275886,0.40040000000000003,2,0,0,0.0
14,8.25821438390584,0.0,0,0,0,0.0
17,2.9810484273999007,0.0,0,0,0,0.0
19,3.419914259501552,0.0,0,0,0,0.0
28,3.232557584980726,0.0,0,0,0,0.0
30,0.8436531743366076,0.0,0,0,0,0.0
33,7.785675203904656,0.0,0,0,0,0.0
34,13.200995826715388,0.0,0,0,0,0.0
36,8.211499843655371,0.0,0,0,0,0.0
42,0.33985020090143353,0.0,0,0,0,0.0
44,5.471923230393609,0.0,0,0,0,0.0
53,1.2869052501828666,0.0,0,0,0,0.0
58,0.30705565719609196,0.0,0,0,0,0.0
57,0.47430448799336383,0.0,0,0,0,0.0
67,7.266524409566737,0.0,0,0,0,0.0
71,2.424468992182982,0.0,0,0,0,0.0
74,0.3870522948741003,0.0,0,0,0,0.0
78,0.0,0.0,0,0,0,0.0
81,0.88205303698789,0.0,0,0,0,0.0
82,1.794958408002741,0.0,0,0,0,0.0
83,13.503193445925572,0.0,0,0,0,0.0
85,9.119445225485755,0.0,0,0,0,0.0
87,4.628855977975074,0.0,0,0,0,0.0
88,0.5259375964335973,0.0,0,0,0,0.0
91,2.7858242943644256,0.0,0,0,0,0.0
92,0.10179544874430708,0.0,0,0,0,0.0
94,3.9674175215124423,0.0,0,0,0,0.0
101,10.146000150124076,0.0,0,0,0,0.0
105,1.340544683634476,0.0,0,0,0,0.0
107,6.569482129875968,0.0,0,0,0,0.0
111,3.2668785922144297,0.0,0,0,0,0.0
112,10.23640433132815,0.0,0,0,0,0.0
114,0.23644442012384895,0.0,0,0,0,0.0
116,0.0,0.0,0,0,0,0.0
117,17.12853877318824,0.0,0,0,0,0.0
123,0.010697093956141915,0.03336666666666667,1,0,0,0.0
124,12.960640083526782,0.0,0,0,0,0.0
128,0.09076785210453096,0.0,0,0,0,0.0
129,0.3038704366325617,0.0,0,0,0,0.0
134,1.5339883018664668,0.0,0,0,0,0.0
140,0.8908700710275521,0.0,0,0,0,0.0
148,0.0,0.0,0,0,0,0.0
149,1.4910770627022438,0.6006,2,0,0,0.0
150,0.37376301243280635,0.0,0,0,0,0.0
153,9.201420017704931,0.0,0,0,0,0.0
156,3.3503523522912237,0.0,0,0,0,0.0
163,0.1933230876276931,0.0,0,0,0,0.0
165,2.9458642310235805,0.0,0,0,0,0.0
167,0.3903173165370948,0.0,0,0,0,0.0
169,1.2477999855154827,0.0,0,0,0,0.0
170,0.5687867772442546,0.0,0,0,0,0.0
171,1.7939979181984405,0.0,0,0,0,0.0
173,0.7411085548657579,0.0,0,0,0,0.0
180,0.28590422982037744,0.0,0,0,0,0.0
181,0.22862498139090803,0.0,0,0,0,0.0
187,1.1120647957855876,0.0,0,0,0,0.0
189,2.2336402809968536,0.0,0,0,0,0.0
192,0.13279600886831622,0.0,0,0,0,0.0
